Keyword,Intent nguồn,Volume,KD,CPC,ICADO rank,ICADO page,Quyết định,Pillar,Cụm LSI / Search intent,Intent chuẩn hóa,Ưu tiên
áo phông với quần âu,Informational,40,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
áo tắm liền thân,Informational,40,7,0.05999999865889549,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
áo venom,Informational,40,4,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
ao khoac co long,Informational,30,6,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
ao khoac du the thao,Informational,30,14,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
ao khoac ha noi,Informational,30,12,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
ao lanh,"Informational, Transactional",30,12,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
ao ninger,"Informational, Transactional",30,26,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
ao quan boi,Informational,30,3,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
bộ áo khoác thể thao,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
bộ áo thu đông,Informational,30,7,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
bộ đồ bơi liền,Informational,30,2,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
bộ đồ nỉ đôi mùa đông,Informational,30,10,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Transactional,—
bộ đồ thể thao mùa hè,Informational,30,14,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Transactional,—
chỗ bán áo khoác đẹp,Commercial,30,-1,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Transactional,—
các loại áo phông,Informational,30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
các mẫu áo polo đẹp,Informational,30,8,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách buộc dây quần jogger,"Informational, Transactional",30,25,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách buộc dây thun quần,"Informational, Transactional",30,17,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp quần gọn,"Informational, Transactional",30,13,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp quần tây,"Informational, Transactional",30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp quần đùi gọn,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp váy gọn,Informational,30,20,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp váy không bị nhăn,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp áo khoác jean,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp áo nhanh nhất,"Informational, Transactional",30,10,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp áo phông nhanh,Informational,30,18,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp áo polo,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp áo thun gọn,"Informational, Transactional",30,10,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gấp áo thun đẹp,Informational,30,10,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách gập quần bò,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách luồn dây quần nhanh nhất,"Informational, Transactional",30,25,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách luồn dây thun quần,"Informational, Transactional",30,25,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách là áo phông,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách mặc áo gió đẹp,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách mặc áo thun,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách thắt chun quần,"Informational, Transactional",30,25,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách thắt dây quần jogger,"Informational, Transactional",30,25,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách xắn quần,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách xắn quần đẹp,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách xếp quần lót cuộn tròn,"Informational, Transactional",30,17,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách xếp quần tây không bị nhăn,"Informational, Transactional",30,8,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách xếp áo dài không nhăn,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách xếp áo thun cuộn tròn,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách xếp áo thun không nhăn,Informational,30,15,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách xỏ dây quần,"Informational, Transactional",30,25,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cách xỏ dây thun quần,Informational,30,25,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
cột dây quần,"Informational, Transactional",30,18,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
dây buộc quần,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
giầy trắng mặc quần gì,Informational,30,7,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
gấp chăn kiểu quân đội,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
gấp chăn mùa đông quân đội,Informational,30,25,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Transactional,—
gấp chăn trong quân đội,Informational,30,21,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
gấp quần,"Informational, Transactional",30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
hãng áo gió nổi tiếng,Informational,30,12,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
hãng áo phông nổi tiếng,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
hướng dẫn gấp chăn quân đội,"Informational, Transactional",30,10,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
jacket áo,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
luồn dây quần,"Informational, Transactional",30,26,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
mix polo,"Informational, Transactional",30,12,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
mix quần sooc da,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
mix đồ với áo phông rộng,Informational,30,8,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
mua quần sịp,Informational,30,11,0.3700000047683716,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Transactional,—
môn thể thao polo là gì,Informational,30,12,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
mẫu áo gió,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
mẫu áo lông,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
mặc quần alibaba với áo gì,Informational,30,18,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
mặc áo thun sao cho đẹp,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
những hãng áo thun nổi tiếng,Informational,30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
nơi bán áo khoác đẹp,Informational,30,16,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Transactional,—
phối áo thun,Informational,30,10,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
polo chính hãng,Informational,30,11,0.05000000074505806,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Transactional,—
polo là ai,Informational,30,23,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
polo vietnam,Commercial,30,19,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
quan trang mac ao gi dep,Informational,30,8,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần buộc nơ,"Informational, Transactional",30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Commercial investigation,—
quần bò ngố kết hợp với áo gì,Informational,30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần bông dài,Informational,30,12,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần bơi cao cấp,Informational,30,11,0.07000000029802322,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần gió mùa hè,Informational,30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Transactional,—
quần gì ngắn nhất,Informational,30,20,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần jean xắn lai,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần jean áo phông,Informational,30,15,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần lót xuất khẩu,Informational,30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần lót đen,Informational,30,16,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần lửng ôm mặc với áo gì,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần mặc với áo thun,Informational,30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần sneaker,Informational,30,-1,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần sooc là gì,Informational,30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần sì líp,Informational,30,19,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần sịp hiệu,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần sịp trong suốt,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần thụng thể thao,Informational,30,21,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần vans,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần ôm thể thao,Informational,30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần đùi chữ v,Informational,30,6,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
quần đùi trong tiếng anh,Informational,30,13,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
set đồ bộ thể thao,Informational,30,5,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
short nỉ,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
style áo thun quần tây,Informational,30,9,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
tee là áo gì,Informational,30,8,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
thương hiệu polo của nước nào,Informational,30,11,0,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
áo khoác gió liverpool,Informational,30,8,0.019999999552965164,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
áo khoác thể thao bóng đá,Informational,30,52,0.05999999865889549,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
áo nỉ gap,Informational,30,22,0.029999999329447746,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Informational,—
áo quần mùa đông,Informational,30,11,0.019999999552965164,0,,Cần review,Athleisure & outfit,Trang phục thể thao ứng dụng,Transactional,—
bộ tập gym nữ,Informational,40,9,0.029999999329447746,0,,Cần review,Gym & Training,Chọn đồ nữ,Informational,—
thời trang gym nữ,Informational,30,7,0,0,,Cần review,Gym & Training,Chọn đồ nữ,Informational,—
đồ gym,Commercial,590,19,0.10000000149011612,0,,Cần review,Gym & Training,Kiến thức Gym hỗ trợ chọn đồ,Commercial investigation,—
fitness shop,Commercial,70,35,0,0,,Cần review,Gym & Training,Kiến thức Gym hỗ trợ chọn đồ,Commercial investigation,—
luật chơi pickleball,Informational,4400,11,0.009999999776482582,0,,Cần review,Pickleball,Kiến thức Pickleball hỗ trợ chọn đồ,Informational,—
luật pickleball,"Commercial, Informational",2900,13,0.009999999776482582,0,,Cần review,Pickleball,Kiến thức Pickleball hỗ trợ chọn đồ,Commercial investigation,—
pickleball set,Informational,110,15,0.10999999940395355,0,,Cần review,Pickleball,Kiến thức Pickleball hỗ trợ chọn đồ,Informational,—
đồ chạy bộ nam,Informational,110,16,0.10000000149011612,0,,Cần review,Tennis & Running,Chọn đồ nam,Comparison,—
đồ chạy bộ nữ,Informational,170,9,0.10999999940395355,0,,Cần review,Tennis & Running,Chọn đồ nữ,Comparison,—
tennis là gì,Informational,720,17,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
chơi tennis,Informational,590,15,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
luật tennis,Informational,320,49,0.009999999776482582,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
mũ chạy bộ,Informational,260,12,0.05999999865889549,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Comparison,—
cách tính điểm tennis,Informational,210,44,0.009999999776482582,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
luật chơi tennis,Informational,210,27,0.009999999776482582,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
môn tennis,Informational,140,44,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
băng đầu chạy bộ,Informational,110,12,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Comparison,—
tennis nghĩa là gì,Informational,110,22,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
set tennis,Informational,50,40,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
cách chơi tennis,Informational,40,10,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
kỹ thuật tennis hiện đại,Informational,40,5,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
ad trong tennis nghĩa là gì,Informational,30,13,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
cách đánh tennis mạnh,Informational,30,12,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
khăn tennis,Informational,30,5,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
luật chơi tennis cách tính điểm,Informational,30,9,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
luật tennis đánh đôi,Informational,30,6,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
lợi ích của việc chơi tennis,Informational,30,9,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
người chơi tennis gọi là gì,Informational,30,16,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
smash trong tennis,Informational,30,9,0,0,,Cần review,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,—
tất tennis,Informational,30,4,0.07000000029802322,0,,Cần review,Tennis & Running,Phụ kiện trang phục,Informational,—
đồ aerobic,Informational,110,6,0,0,,Cần review,Yoga & Pilates,Kiến thức Yoga/Pilates hỗ trợ chọn đồ,Informational,—
may yoga,Transactional,30,31,0,0,,Cần review,Yoga & Pilates,Kiến thức Yoga/Pilates hỗ trợ chọn đồ,Commercial investigation,—
áo lining nam,"Informational, Transactional",320,10,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
áo bóng chuyền nam,Informational,260,4,0.09000000357627869,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác lining nam,Informational,260,10,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
áo cầu lông nam,Informational,170,9,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
quần short lining,"Navigational, Transactional",140,9,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
áo khoác gió lining nam,Informational,140,9,0.03999999910593033,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam lining,Informational,140,12,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
bộ quần áo adidas nam mùa đông,"Informational, Transactional",110,66,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Transactional,—
mẫu áo bóng chuyền nam,Informational,110,7,0.10999999940395355,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
quần lining nam,"Navigational, Transactional",110,11,0.05000000074505806,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
áo khoác nam nike chính hãng,Informational,110,14,0.03999999910593033,0,,Loại,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo khoác nike nam,Informational,110,14,0.05000000074505806,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
quần gió nam uniqlo,"Informational, Transactional",90,28,0.11999999731779099,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
quần áo cầu lông nam,Informational,90,8,0.07000000029802322,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
áo gió lining nam,"Informational, Transactional",90,9,0.10000000149011612,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
áo phao lining nam,Informational,90,9,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
bộ quần áo nỉ nam lining,Informational,70,8,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo lining nam chính hãng,Informational,70,8,1.7300000190734863,0,,Loại,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo khoác nike nam chính hãng,Informational,70,8,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo gió nike nam chính hãng,Informational,50,16,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo khoác nam lining chính hãng,Informational,50,8,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo lông vũ lining nam,Transactional,50,8,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
áo nỉ adidas nam,"Informational, Transactional",50,17,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
áo phao lông vũ nam adidas,"Informational, Transactional",50,17,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
cách phối quần jean nam với giày thể thao,Informational,40,6,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
áo gile lông vũ uniqlo nam,Informational,40,27,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác fila nam,Informational,40,11,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
bộ quần áo thu đông nam adidas,"Informational, Transactional",30,63,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
bộ quần áo thể thao nam mùa đông nike,Informational,30,10,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Transactional,—
bộ đồ nỉ nam adidas,"Informational, Transactional",30,16,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
cách phối màu quần áo với giày cho nam,Informational,30,3,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
giày thể thao mang với quần tây nam,Informational,30,5,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
luật quần vợt việt nam,Informational,30,11,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
phối giày thể thao với quần jean nam,Informational,30,5,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
phối màu giày với quần áo nam,Informational,30,6,0,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo bóng chuyền nam,Informational,30,2,0.07999999821186066,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo bóng rổ nam,Informational,30,12,0.09000000357627869,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo đánh cầu lông nam,Informational,30,6,0.07000000029802322,0,,Loại,Athleisure & outfit,Chọn đồ nam,Informational,—
áo thể thao lining nam,"Informational, Transactional",30,8,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
áo cầu lông nữ,Informational,260,9,0.05000000074505806,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
mẫu áo bóng chuyền nữ mới nhất,Informational,170,10,0.10000000149011612,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
quần áo cầu lông nữ,Informational,140,7,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
trang phục đánh cầu lông nữ,Informational,140,13,0.05000000074505806,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo bóng chuyền nữ,Informational,140,4,0.07000000029802322,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo khoác lining nữ,Informational,140,9,0.05000000074505806,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
mẫu áo bóng chuyền nữ đẹp,Informational,110,6,0.10999999940395355,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
quần cầu lông nữ,Informational,110,7,0.03999999910593033,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo khoác nike nữ,Informational,110,16,0.03999999910593033,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo khoác nữ adidas,Informational,110,19,0.05000000074505806,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo khoác nike nữ chính hãng,Informational,90,9,0.029999999329447746,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Transactional,—
cách phối màu quần áo với giày cho nữ,Informational,50,8,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo phao lining nữ,"Informational, Transactional",50,8,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Commercial investigation,—
quần áo bóng chuyền nữ,Informational,40,5,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo gió nữ lining chính hãng,Transactional,40,8,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Transactional,—
áo khoác gió lining nữ,Informational,40,8,0.09000000357627869,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
adidas áo khoác nữ,"Informational, Transactional",30,32,0.03999999910593033,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Commercial investigation,—
bộ quần áo gió lining nữ,"Informational, Transactional",30,8,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Commercial investigation,—
bộ đồ cầu lông nữ,Informational,30,4,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
cách phối quần legging với giày thể thao,Informational,30,5,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
giày polo nữ chính hãng,Informational,30,10,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Transactional,—
giày thể thao nữ kết hợp với quần áo,Informational,30,9,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
legging bóng rổ,Informational,30,9,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
quần gió lining nữ,Informational,30,8,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
quần áo bóng bàn nữ,Informational,30,25,0.05000000074505806,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Transactional,—
quần áo bóng chuyền nữ đẹp,Informational,30,2,0,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
quần áo thể thao nữ lining,"Navigational, Transactional",30,7,0.029999999329447746,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Commercial investigation,—
quần áo đánh cầu lông nữ,Informational,30,4,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo gió lining nữ,"Informational, Transactional",30,8,0.05000000074505806,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Commercial investigation,—
áo gió nữ adidas,Informational,30,16,0.05000000074505806,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo gió nữ lining,Informational,30,8,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
áo khoác gió nữ adidas,"Informational, Transactional",30,15,0.05999999865889549,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Commercial investigation,—
áo khoác nữ adidas chính hãng,Informational,30,32,0.03999999910593033,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Transactional,—
áo khoác nữ lining,Informational,30,8,0.07000000029802322,0,,Loại,Athleisure & outfit,Chọn đồ nữ,Informational,—
quần áo cầu lông,Informational,880,16,0.07000000029802322,0,,Loại,Athleisure & outfit,Mặc gì / hướng dẫn chọn đồ,Informational,—
quần áo lining,Transactional,590,16,0.05999999865889549,0,,Loại,Athleisure & outfit,Mặc gì / hướng dẫn chọn đồ,Commercial investigation,—
quần áo bóng chuyền,Informational,260,5,0.09000000357627869,0,,Loại,Athleisure & outfit,Mặc gì / hướng dẫn chọn đồ,Informational,—
